party,poster,flag_count
AFD,AfD,77
AFD,"AfD 2013, zurück zu den Wurzeln",1
AFD,AfD-Augsburg-Land,1
AFD,AfD Baden-Württemberg,1
AFD,AfD Baden-Württemberg Warum Sie AfD wählen sollten!,1
AFD,AfD Bayern,3
AFD,AfD Blankenfelde-Mahlow,1
AFD,AfD Brandenburg,1
AFD,- AfD Eilmeldungen -,2
AFD,AfD-Fraktion im Bayerischen Landtag,1
AFD,AfD-Fraktion im Deutschen Bundestag,8
AFD,AfD-Fraktion im Hessischen Landtag,4
AFD,AfD-Fraktion im Landtag von Baden-Württemberg,7
AFD,AfD-Fraktion im Thüringer Landtag,1
AFD,AfD-Fraktion NRW,1
AFD,AfD Fraktion Sachsen,10
AFD,AfD-Fraktion Sachsen-Anhalt,2
AFD,AfD-Freunde Baden-Württemberg,5
AFD,AfD - Freunde Calw/Freudenstadt,5
AFD,AfD-Freunde Tübingen,1
AFD,AfD Greiz-Altenburg,1
AFD,AfD Hamburg-Nord,8
AFD,AfD Hessen,1
AFD,AfD Heusenstamm,4
AFD,AfD Kassel-Stadt,2
AFD,AfD Kompakt,7
AFD,AfD Kreisverband Gießen,1
AFD,AfD Kreisverband Göppingen,2
AFD,AfD Kreisverband Harz,1
AFD,AfD Kreisverband Landsberg am Lech,1
AFD,AfD - Kreisverband Märkisch-Oderland,1
AFD,AfD - Kreisverband Oberhavel,1
AFD,AfD Kreisverband Ravensburg,3
AFD,AfD Kreisverband Ulm / Alb-Donau,9
AFD,AfD Kreisverband Waldshut,1
AFD,AfD Kreisverband Wittenberg,1
AFD,AfD Kyffhäuser-Sömmerda-Weimarer Land,1
AFD,AfD Landau / Südliche Weinstraße,3
AFD,AfD Magdeburg,1
AFD,AfD Niedersachsen,1
AFD,AfD Nürnberg,2
AFD,AfD Oldenburg Land,2
AFD,AfD Rheinland-Pfalz,50
AFD,AfD Rosenheim Kreisverband,6
AFD,AfD Saarland,1
AFD,AfD Sachsen-Anhalt,1
AFD,AfD Stuttgart,4
AFD,AfD Thüringen,2
AFD,AfD Wiesbaden,1
AFD,AfD Zweibrücken,3
AFD,Alternative für Deutschland AfD - Würselen,4
AFD,Dietmar Friedhoff AfD Bundestagsabgeordneter,6
AFD,Freunde der AfD Hochtaunus,2
AFD,Heiko Scholz - AfD,3
AFD,Jörg Schock AfD,4
AFD,Leyla Bilge - AfD,2
AFD,Markus Frohnmaier - AfD,4
AFD,"Peter Felser, AfD",3
AFD,Ulrike Schielke - Ziesing AfD MV,1
CDU,CDU,1
CDU,CDU Erfurt,1
CDU,CDU in Niedersachsen,1
CDU,CSU (Christlich-Soziale Union),3
DIELINKE,DIE LINKE. NRW,1
DIELINKE,Fraktion DIE LINKE. im Bundestag,1
FDP,FDP,1
FDP,FDP-Mitglieder intern,1
SDP,Deniz Kurku - SPD,1
SDP,Deniz Kurku - SPD Hanna Naber Niedersächsischer Landtag,1
SDP,🔴 forum UNSERE SPD 🔴,1
SDP,Jusos in der SPD Landkreis Harburg,1
SDP,Linke SPD.,1
SDP,"Saskia Esken, SPD",1
SDP,SPD Barmbek-Uhlenhorst-Hohenfelde,1
SDP,SPD-Fraktion Brandenburg,1
SDP,SPD-Fraktion im Bundestag,1
SDP,SPD Fraktion Niedersachsen,1
SDP,SPD-Landtagsfraktion NRW,1
SDP,SPD Niedersachsen,1
SDP,Unsere Neue SPD - Deine Community.,1
